Year,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$)
2018,2,Export,604,Peru,PER,0,World,WLD,30743,Molluscs; cuttle fish and squid_ whether in shell or not_ includes flours_ meals_ and pellets of molluscs_ fit for human consumption_ frozen,8,Weight in kilograms,147542258,147542258,350498463
2018,2,Export,604,Peru,PER,0,World,WLD,30749,Molluscs; cuttle fish and squid_ whether in shell or not_ includes flours_ meals_ and pellets of molluscs_ fit for human consumption_ dried_ salted_ in brine_ or smoked_ cooked or not before or during the smoking process,8,Weight in kilograms,9706287,9706287,25305019
2018,2,Export,604,Peru,PER,0,World,WLD,160554,Mollusc preparations; cuttle fish and squid_ prepared or preserved,8,Weight in kilograms,51317754,51317754,248262133
2018,2,Export,604,Peru,PER,0,World,WLD,30742,Molluscs; cuttle fish and squid_ whether in shell or not_ live_ fresh or chilled,8,Weight in kilograms,43,43,280
2018,2,Export,604,Peru,PER,32,Argentina,ARG,30743,Molluscs; cuttle fish and squid_ whether in shell or not_ includes flours_ meals_ and pellets of molluscs_ fit for human consumption_ frozen,8,Weight in kilograms,119570,119570,348843
2018,2,Export,604,Peru,PER,36,Australia,AUS,30743,Molluscs; cuttle fish and squid_ whether in shell or not_ includes flours_ meals_ and pellets of molluscs_ fit for human consumption_ frozen,8,Weight in kilograms,6,6,6
2018,2,Export,604,Peru,PER,56,Belgium,BEL,30743,Molluscs; cuttle fish and squid_ whether in shell or not_ includes flours_ meals_ and pellets of molluscs_ fit for human consumption_ frozen,8,Weight in kilograms,132484,132484,313886
2018,2,Export,604,Peru,PER,56,Belgium,BEL,160554,Mollusc preparations; cuttle fish and squid_ prepared or preserved,8,Weight in kilograms,16640,16640,106150
2018,2,Export,604,Peru,PER,76,Brazil,BRA,160554,Mollusc preparations; cuttle fish and squid_ prepared or preserved,8,Weight in kilograms,43610,43610,267067
2018,2,Export,604,Peru,PER,76,Brazil,BRA,30749,Molluscs; cuttle fish and squid_ whether in shell or not_ includes flours_ meals_ and pellets of molluscs_ fit for human consumption_ dried_ salted_ in brine_ or smoked_ cooked or not before or during the smoking process,8,Weight in kilograms,26400,26400,121440
2018,2,Export,604,Peru,PER,76,Brazil,BRA,30743,Molluscs; cuttle fish and squid_ whether in shell or not_ includes flours_ meals_ and pellets of molluscs_ fit for human consumption_ frozen,8,Weight in kilograms,1942389,1942389,5609418
2018,2,Export,604,Peru,PER,124,Canada,CAN,30743,Molluscs; cuttle fish and squid_ whether in shell or not_ includes flours_ meals_ and pellets of molluscs_ fit for human consumption_ frozen,8,Weight in kilograms,13498,13498,53294
2018,2,Export,604,Peru,PER,124,Canada,CAN,30742,Molluscs; cuttle fish and squid_ whether in shell or not_ live_ fresh or chilled,8,Weight in kilograms,5,5,5
2018,2,Export,604,Peru,PER,152,Chile,CHL,30743,Molluscs; cuttle fish and squid_ whether in shell or not_ includes flours_ meals_ and pellets of molluscs_ fit for human consumption_ frozen,8,Weight in kilograms,201569,201569,727917
2018,2,Export,604,Peru,PER,152,Chile,CHL,30749,Molluscs; cuttle fish and squid_ whether in shell or not_ includes flours_ meals_ and pellets of molluscs_ fit for human consumption_ dried_ salted_ in brine_ or smoked_ cooked or not before or during the smoking process,8,Weight in kilograms,53900,53900,165548
2018,2,Export,604,Peru,PER,152,Chile,CHL,160554,Mollusc preparations; cuttle fish and squid_ prepared or preserved,8,Weight in kilograms,5010,5010,26202
2018,2,Export,604,Peru,PER,156,China,CHN,160554,Mollusc preparations; cuttle fish and squid_ prepared or preserved,8,Weight in kilograms,24108697,24108697,104535912
2018,2,Export,604,Peru,PER,156,China,CHN,30749,Molluscs; cuttle fish and squid_ whether in shell or not_ includes flours_ meals_ and pellets of molluscs_ fit for human consumption_ dried_ salted_ in brine_ or smoked_ cooked or not before or during the smoking process,8,Weight in kilograms,801505,801505,1841345
2018,2,Export,604,Peru,PER,156,China,CHN,30743,Molluscs; cuttle fish and squid_ whether in shell or not_ includes flours_ meals_ and pellets of molluscs_ fit for human consumption_ frozen,8,Weight in kilograms,15899564,15899564,31120787
2018,2,Export,604,Peru,PER,156,China,CHN,30742,Molluscs; cuttle fish and squid_ whether in shell or not_ live_ fresh or chilled,8,Weight in kilograms,28,28,5
2018,2,Export,604,Peru,PER,170,Colombia,COL,30743,Molluscs; cuttle fish and squid_ whether in shell or not_ includes flours_ meals_ and pellets of molluscs_ fit for human consumption_ frozen,8,Weight in kilograms,541943,541943,1137257
2018,2,Export,604,Peru,PER,170,Colombia,COL,30749,Molluscs; cuttle fish and squid_ whether in shell or not_ includes flours_ meals_ and pellets of molluscs_ fit for human consumption_ dried_ salted_ in brine_ or smoked_ cooked or not before or during the smoking process,8,Weight in kilograms,236679,236679,184194
2018,2,Export,604,Peru,PER,170,Colombia,COL,160554,Mollusc preparations; cuttle fish and squid_ prepared or preserved,8,Weight in kilograms,44400,44400,216276
2018,2,Export,604,Peru,PER,188,Costa Rica,CRI,30749,Molluscs; cuttle fish and squid_ whether in shell or not_ includes flours_ meals_ and pellets of molluscs_ fit for human consumption_ dried_ salted_ in brine_ or smoked_ cooked or not before or during the smoking process,8,Weight in kilograms,25000,25000,29700
2018,2,Export,604,Peru,PER,188,Costa Rica,CRI,30743,Molluscs; cuttle fish and squid_ whether in shell or not_ includes flours_ meals_ and pellets of molluscs_ fit for human consumption_ frozen,8,Weight in kilograms,413001,413001,949860
2018,2,Export,604,Peru,PER,214,Dominican Rep.,DOM,30743,Molluscs; cuttle fish and squid_ whether in shell or not_ includes flours_ meals_ and pellets of molluscs_ fit for human consumption_ frozen,8,Weight in kilograms,11984,11984,24207
2018,2,Export,604,Peru,PER,214,Dominican Rep.,DOM,160554,Mollusc preparations; cuttle fish and squid_ prepared or preserved,8,Weight in kilograms,7002,7002,19255
2018,2,Export,604,Peru,PER,233,Estonia,EST,160554,Mollusc preparations; cuttle fish and squid_ prepared or preserved,8,Weight in kilograms,85928,85928,256229
2018,2,Export,604,Peru,PER,251,France,FRA,160554,Mollusc preparations; cuttle fish and squid_ prepared or preserved,8,Weight in kilograms,234980,234980,784762
2018,2,Export,604,Peru,PER,251,France,FRA,30749,Molluscs; cuttle fish and squid_ whether in shell or not_ includes flours_ meals_ and pellets of molluscs_ fit for human consumption_ dried_ salted_ in brine_ or smoked_ cooked or not before or during the smoking process,8,Weight in kilograms,296241,296241,796316
2018,2,Export,604,Peru,PER,251,France,FRA,30743,Molluscs; cuttle fish and squid_ whether in shell or not_ includes flours_ meals_ and pellets of molluscs_ fit for human consumption_ frozen,8,Weight in kilograms,791282,791282,1822131
2018,2,Export,604,Peru,PER,276,Germany,DEU,30743,Molluscs; cuttle fish and squid_ whether in shell or not_ includes flours_ meals_ and pellets of molluscs_ fit for human consumption_ frozen,8,Weight in kilograms,39182,39182,27216
2018,2,Export,604,Peru,PER,276,Germany,DEU,160554,Mollusc preparations; cuttle fish and squid_ prepared or preserved,8,Weight in kilograms,97148,97148,208709
2018,2,Export,604,Peru,PER,300,Greece,GRC,30749,Molluscs; cuttle fish and squid_ whether in shell or not_ includes flours_ meals_ and pellets of molluscs_ fit for human consumption_ dried_ salted_ in brine_ or smoked_ cooked or not before or during the smoking process,8,Weight in kilograms,25998,25998,75394
2018,2,Export,604,Peru,PER,300,Greece,GRC,30743,Molluscs; cuttle fish and squid_ whether in shell or not_ includes flours_ meals_ and pellets of molluscs_ fit for human consumption_ frozen,8,Weight in kilograms,295472,295472,967872
2018,2,Export,604,Peru,PER,320,Guatemala,GTM,30743,Molluscs; cuttle fish and squid_ whether in shell or not_ includes flours_ meals_ and pellets of molluscs_ fit for human consumption_ frozen,8,Weight in kilograms,52600,52600,145820
2018,2,Export,604,Peru,PER,344,China_ Hong Kong SAR,HKG,30743,Molluscs; cuttle fish and squid_ whether in shell or not_ includes flours_ meals_ and pellets of molluscs_ fit for human consumption_ frozen,8,Weight in kilograms,14,14,4
2018,2,Export,604,Peru,PER,381,Italy,ITA,30743,Molluscs; cuttle fish and squid_ whether in shell or not_ includes flours_ meals_ and pellets of molluscs_ fit for human consumption_ frozen,8,Weight in kilograms,9108204,9108204,21605919
