Year,Month,Price_galunggong_medium_1kg
2012,Jan,105.37
2012,Feb,105.54
2012,Mar,103.02
2012,Apr,107.8
2012,May,104.48
2012,Jun,105.08
2012,Jul,106.52
2012,Aug,109.88
2012,Sept,107.86
2012,Oct,108.43
2012,Nov,110.52
2012,Dec,112.18
2013,Jan,116.61
2013,Feb,113.6
2013,Mar,110.81
2013,Apr,105.24
2013,May,102.76
2013,Jun,103.41
2013,Jul,105.09
2013,Aug,107.13
2013,Sept,106.9
2013,Oct,109.09
2013,Nov,111.65
2013,Dec,112.55
2014,Jan,114.63
2014,Feb,115.54
2014,Mar,109.4
2014,Apr,106.41
2014,May,106.16
2014,Jun,107.61
2014,Jul,109.31
2014,Aug,112.98
2014,Sept,113.57
2014,Oct,114.76
2014,Nov,114.73
2014,Dec,114.99
2015,Jan,118.95
2015,Feb,118.6
2015,Mar,116.2
2015,Apr,117.87
2015,May,115.24
2015,Jun,113.34
2015,Jul,117.47
2015,Aug,117.02
2015,Sept,116.93
2015,Oct,117.56
2015,Nov,120.18
2015,Dec,119.92
2016,Jan,119.15
2016,Feb,118.17
2016,Mar,114.91
2016,Apr,111
2016,May,107.84
2016,Jun,109.37
2016,Jul,110.36
2016,Aug,113.82
2016,Sept,111.91
2016,Oct,111.97
2016,Nov,115.47
2016,Dec,117.35
2017,Jan,121.67
2017,Feb,121.39
2017,Mar,117.09
2017,Apr,120.82
2017,May,118.97
2017,Jun,120.68
2017,Jul,120.67
2017,Aug,123.1
2017,Sept,123.99
2017,Oct,124.43
2017,Nov,127.35
2017,Dec,131.06
2018,Jan,138.05
2018,Feb,138.79
2018,Mar,135.97
2018,Apr,139.39
2018,May,136.15
2018,Jun,139.03
2018,Jul,137.63
2018,Aug,141.8
2018,Sept,143.81
2018,Oct,146.08
2018,Nov,143.39
2018,Dec,143.27
2019,Jan,149.18
2019,Feb,146.15
2019,Mar,137.57
2019,Apr,135.78
2019,May,136.98
2019,Jun,139.35
2019,Jul,140.63
2019,Aug,142.75
2019,Sept,142.37
2019,Oct,140.89
2019,Nov,146.46
2019,Dec,167.12
2020,Jan,179.87
2020,Feb,174.98
2020,Mar,169.56
2020,Apr,163.22
2020,May,156.75
2020,Jun,151.18
2020,Jul,148.59
2020,Aug,149.62
2020,Sept,152.5
2020,Oct,156.58
2020,Nov,167.76
2020,Dec,175.48
2021,Jan,184.1
2021,Feb,186.76
2021,Mar,184.56
2021,Apr,182.83
2021,May,181.35
2021,Jun,178.96
2021,Jul,174.9
2021,Aug,181.41
2021,Sept,176.7
2021,Oct,178.18
2021,Nov,181.55
2021,Dec,186.76
